timestamp,Weather_Temperature_Celsius,Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Active_Power
2018-01-01 07:00:00,20.643333435059,43.17,58.858825683594,173.96,56.666538238525
2018-01-01 08:00:00,20.889999389648,39.01,152.02563476562,245.76,139.08450317383
2018-01-01 09:00:00,22.25333404541,34.03,347.7043762207,147.86,283.29992675781
2018-01-01 10:00:00,24.959999084473,30.37,798.78375244141,277.05,319.11840820312
2018-01-01 11:00:00,26.843334197998,27.9,933.42779541016,294.78,285.68524169922
2018-01-01 12:00:00,28.130001068115,26.17,1063.0899658203,319.44,295.53881835938
2018-01-01 13:00:00,30.273332595825,24.93,1084.1740722656,261.26,358.41012573242
2018-01-01 14:00:00,31.040000915527,25.27,958.07238769531,283.74,342.17468261719
2018-01-01 15:00:00,31.34666633606,27.01,500.75247192383,133.7,418.53341674805
2018-01-01 16:00:00,32.5,29.72,946.44763183594,75.97,522.59417724609
2018-01-01 17:00:00,32.663333892822,33.79,730.28265380859,42.33,527.99865722656
2018-01-02 07:00:00,19.173334121704,28.05,90.654655456543,51.28,43.581317901611
2018-01-02 08:00:00,22.989999771118,18.92,403.91445922852,55.31,279.34359741211
2018-01-02 09:00:00,25.590000152588,14.84,647.75305175781,53.47,369.99868774414
2018-01-02 10:00:00,27.85000038147,12.26,850.43530273438,49.51,288.80493164062
2018-01-02 11:00:00,29.516666412354,10.89,1015.7698974609,59.42,263.14776611328
2018-01-02 12:00:00,30.763334274292,10.42,1118.5368652344,71.89,204.17253112793
2018-01-02 13:00:00,31.909999847412,10.77,1139.240234375,56.94,301.67797851562
2018-01-02 14:00:00,32.599998474121,11.04,1106.4072265625,62.52,326.38827514648
2018-01-02 15:00:00,33.810001373291,11.2,991.90948486328,80.84,439.86947631836
2018-01-02 16:00:00,33.486667633057,11.62,823.71392822266,46.83,542.81665039062
2018-01-02 17:00:00,33.50666809082,12.51,611.49633789062,29.49,478.32513427734
2018-01-03 07:00:00,21.223333358765,16.52,115.88436126709,58.75,43.488586425781
2018-01-03 08:00:00,24.436666488647,13.26,411.45849609375,66.13,279.65200805664
2018-01-03 09:00:00,26.643333435059,11.52,654.8271484375,65.61,409.29653930664
2018-01-03 10:00:00,28.140001296997,9.83,857.72259521484,62.39,311.52362060547
2018-01-03 11:00:00,29.513334274292,8.36,1022.6833496094,56.99,227.38571166992
2018-01-03 12:00:00,30.770000457764,7.34,1117.6846923828,58.78,249.19982910156
2018-01-03 13:00:00,31.933332443237,6.87,1146.9488525391,62.84,295.21786499023
2018-01-03 14:00:00,32.986667633057,6.74,1104.3635253906,62.5,345.54364013672
2018-01-03 15:00:00,33.729999542236,6.9,998.76678466797,57.23,429.46047973633
2018-01-03 16:00:00,34.20333480835,7.29,828.38256835938,50.82,529.03350830078
2018-01-03 17:00:00,34.223335266113,7.92,603.74920654297,31.8,463.78094482422
2018-01-04 07:00:00,21.383333206177,15.72,108.7798614502,61.42,42.380435943604
2018-01-04 08:00:00,25.356666564941,12.01,401.85302734375,65.86,272.7197265625
2018-01-04 09:00:00,28.573333740234,10.41,644.45788574219,67.7,427.39041137695
2018-01-04 10:00:00,30.893333435059,9.38,845.33221435547,61.3,362.1217956543
2018-01-04 11:00:00,32.113334655762,8.71,1010.0372924805,58.33,315.42056274414
2018-01-04 12:00:00,32.95333480835,8.16,1111.3433837891,64.11,330.80426025391
2018-01-04 13:00:00,33.953330993652,7.72,1140.9156494141,66.03,363.60717773438
2018-01-04 14:00:00,34.876667022705,7.49,1099.7518310547,64.17,397.93048095703
2018-01-04 15:00:00,35.226665496826,7.54,993.45684814453,58.99,430.3166809082
2018-01-04 16:00:00,35.473335266113,7.81,824.43200683594,54.18,620.2265625
2018-01-04 17:00:00,35.549999237061,8.31,603.97467041016,35.69,461.46365356445
2018-01-05 07:00:00,23.553333282471,14.2,105.60662841797,62.11,40.940383911133
2018-01-05 08:00:00,26.976667404175,10.0,404.2470703125,66.05,269.74932861328
2018-01-05 09:00:00,30.586666107178,8.9,646.70123291016,64.22,183.71549987793
2018-01-05 10:00:00,32.74333190918,8.06,852.74072265625,58.72,178.61122131348
2018-01-05 11:00:00,34.459999084473,7.34,1016.756652832,56.09,183.34457397461
2018-01-05 12:00:00,35.603332519531,6.82,1115.2346191406,60.77,182.88980102539
2018-01-05 13:00:00,36.353332519531,6.56,1146.0152587891,59.3,431.07943725586
2018-01-05 14:00:00,37.873332977295,6.43,1100.9774169922,60.77,482.32183837891
2018-01-05 15:00:00,38.293334960938,6.45,999.67559814453,55.98,548.36804199219
2018-01-05 16:00:00,38.393333435059,6.67,827.62982177734,56.68,633.3876953125
2018-01-05 17:00:00,38.220001220703,7.08,605.36083984375,32.05,455.4362487793
2018-01-06 07:00:00,23.620000839233,8.75,98.064338684082,57.04,40.378887176514
2018-01-06 08:00:00,29.173334121704,6.21,397.08840942383,58.86,263.37020874023
2018-01-06 09:00:00,32.740001678467,5.75,640.23724365234,60.13,439.33059692383
2018-01-06 10:00:00,37.330001831055,5.66,848.19976806641,52.63,428.28311157227
2018-01-06 11:00:00,38.836666107178,5.67,1013.9459228516,53.56,432.9267578125
2018-01-06 12:00:00,40.216667175293,5.74,1113.0848388672,58.82,472.36810302734
2018-01-06 13:00:00,41.229999542236,5.7,1138.5751953125,82.13,512.43682861328
2018-01-06 14:00:00,41.233333587646,5.7,1099.3376464844,116.08,547.31927490234
2018-01-06 15:00:00,42.186668395996,5.78,994.11560058594,111.29,615.86798095703
2018-01-06 16:00:00,40.966667175293,5.99,721.07330322266,75.27,366.53381347656
2018-01-06 17:00:00,41.686664581299,6.4,668.90313720703,41.27,485.51516723633
2018-01-07 07:00:00,26.803333282471,32.76,90.687400817871,62.47,41.201656341553
2018-01-07 08:00:00,30.656667709351,31.41,374.36102294922,64.25,248.63682556152
2018-01-07 09:00:00,32.420001983643,26.5,609.67907714844,65.73,457.77456665039
2018-01-07 10:00:00,33.680000305176,21.94,816.73828125,59.0,504.37231445312
2018-01-07 11:00:00,34.963333129883,18.4,978.41668701172,58.59,487.16937255859
2018-01-07 12:00:00,36.986667633057,16.11,1080.1470947266,64.51,508.05828857422
2018-01-07 13:00:00,38.806667327881,14.82,1105.7690429688,98.26,541.97192382812
2018-01-07 14:00:00,39.630001068115,14.06,1058.2409667969,218.73,598.32946777344
2018-01-07 15:00:00,39.75333404541,13.64,505.59164428711,127.61,304.42767333984
2018-01-07 16:00:00,39.119998931885,13.5,134.45358276367,65.67,105.80750274658
